Artist,Born,From
'Bing Crosby',USA,USA
'Elton John',UK,UK
'Mungo Jerry',UK,UK
'Bill Haley & His Comets',USA,USA
'Whitney Houston',USA,USA
'Elvis Presley',USA,USA
'USA for Africa',USA,USA
'The Ink Spots',USA,USA
'Baccara',Spain,Spain
'Celine Dion',Canada,Canada
'Mariah Carey',USA,USA
'Bryan Adams',Canada,Canada
'John Travolta and Olivia Newton-John',USA+UK,USA+UK
'The Andrews Sisters',USA,USA
'Scorpions',Germany,Germany
'Prince Nico Mbarga',Nigeria,Nigeria
'Kyu Sakamoto',Japan,Japan
'Gene Autry',USA,USA
'The Beatles',UK,UK
'Andrea Bocelli and Sarah Brightman',Italy+UK,Italy+UK
'Village People',USA,USA
'Band Aid',UK,UK
'Cher',USA,USA
'Carl Douglas',Jamaica,Jamaica
'George McCrae',USA,USA
'Mills Brothers',USA,USA
'Roger Whittaker',Kenya Colony,Kenya Colony
'ABBA',Sweden,Sweden
'Roy Acuff',USA,USA
'Paul Anka',Canada,Canada
'Toni Braxton',USA,USA
'George Harrison',USA,USA
'Los del Río',Spain,Spain
'Middle of the Road',Scotland,Scotland
'The Monkees',USA,USA
'Panjabi MC',UK,UK
'Patti Page',USA,USA
'The Penguins',USA,USA
'Procol Harum',UK,UK
'Britney Spears',USA,USA
'The Knack',USA,USA
'Xiao Zhan',China,China
'Ed Sheeran',UK,UK
'Luis Fonsi',Puerto Rico,Puerto Rico
'Rihanna',Barbados,Barbados
'The Chainsmokers and Coldplay',USA+UK,USA+UK
'Wiz Khalifa',USA,USA
'The Chainsmokers',USA,USA
'Adele',UK,UK
'Mark Ronson',UK,UK
'Billie Eilish',USA,USA
'Camila Cabello',Cuba,Cuba
'Lil Nas X',USA,USA
'Carly Rae Jepsen',Canada,Canada
'Taylor Swift',USA,USA
'Shawn Mendes and Camila Cabello',Canada+Cuba,Canada+Cuba
'Imagine Dragons',USA,USA
'Drake',Canada,Canada
'Robin Thicke',USA,USA
'Maroon 5',USA,USA
'Kesha',USA,USA
'Lady Gaga',USA,USA
'Pharrell Williams',USA,USA
'Psy',South Korea,South Korea
'Post Malone and Swae Lee',USA,USA
'Macklemore and Ryan Lewis',USA,USA
'Ariana Grande',USA,USA
'Katy Perry',USA,USA
'Major Lazer & DJ Snake',USA+France,USA+Algeria
'Gotye',Belgium,Australia
'Ellie Goulding',UK,UK
'Bruno Mars',USA,USA
'John Legend',USA,USA
'Jason Mraz',USA,USA
'Flo Rida',USA,USA
'Justin Bieber',Canada,Canada
'Tones and I',Australia,Australia
'Avicii',Sweden,Sweden
'Sia',Australia,Australia
'Meghan Trainor',USA,USA
'Tia Ray',China,China
'Idina Menzel',USA,USA
'Lukas Graham',Denmark,Denmark
'Ed Sheeran and Justin Bieber',UK+Canada,UK+Canada
'Lady Gaga and Bradley Cooper',USA,USA
'Lorde',New Zealand,New Zealand
'Mike Posner',USA,USA
'Shakira',Colombia,Colombia
