Bing Crosby,"White Christmas",1942,50,[1]
Elton John,"Something About the Way You Look Tonight"/"Candle in the Wind 1997",1997,33,[1]
Mungo Jerry,"In the Summertime",1970,30[disputed – discuss],[2][3][4]
Bill Haley & His Comets,"Rock Around the Clock",1954,25,[5]
Whitney Houston,"I Will Always Love You",1992,20,[6]
Elvis Presley,"It's Now or Never",1960,20,[7][8]
USA for Africa,"We Are the World",1985,20,[9]
The Ink Spots,"If I Didn't Care",1939,19[disputed – discuss],[10]
Baccara,"Yes Sir, I Can Boogie",1977,18[disputed – discuss],[11]
Celine Dion,"My Heart Will Go On",1997,18,[12]
Mariah Carey,"All I Want for Christmas Is You",1994,16,[13]
Bryan Adams,"(Everything I Do) I Do It for You",1991,15,[14]
John Travolta and Olivia Newton-John,"You're the One That I Want",1978,15,[15]
The Andrews Sisters,"Bei Mir Bist Du Schön",1937,14,[16]
Scorpions,"Wind of Change",1991,14,[17]
Prince Nico Mbarga,"Sweet Mother",1976,13,[18]
Kyu Sakamoto,"Sukiyaki",1963,13,[19]
Gene Autry,"Rudolph the Red-Nosed Reindeer",1949,12.5,[20]
The Beatles,"I Want to Hold Your Hand",1963,12,[7]
Andrea Bocelli and Sarah Brightman,"Time to Say Goodbye",1996,12,[21]
Village People,"Y.M.C.A.",1978,12,[22]
Band Aid,"Do They Know It's Christmas?",1984,11.7,[23]
Cher,"Believe",1998,11,[24][25]
Carl Douglas,"Kung Fu Fighting",1974,11,[26][27]
George McCrae,"Rock Your Baby",1974,11,[7]
Mills Brothers,"Paper Doll",1943,11,[7]
Roger Whittaker,"The Last Farewell",1975,11,[28]
Bing Crosby,"Silent Night",1935,10,[29]
ABBA,"Fernando",1976,10,[30]
Roy Acuff,"Wabash Cannonball",1942,10,[7]
Paul Anka,"Diana",1957,10,[31][32]
Toni Braxton,"Un-Break My Heart",1996,10,[33]
George Harrison,"My Sweet Lord",1970,10,[34]
Los del Río,"Macarena",1995,10,[35]
Middle of the Road,"Chirpy Chirpy Cheep Cheep",1971,10,[7]
The Monkees,"I'm a Believer",1966,10,[7][36]
Panjabi MC,"Mundian To Bach Ke",1998,10[disputed – discuss],[37]
Patti Page,"Tennessee Waltz",1950,10,[38][39][40]
The Penguins,"Earth Angel",1954,10,[41]
Elvis Presley,"Hound Dog",1956,10,[42]
Procol Harum,"A Whiter Shade of Pale",1967,10,[7]
Britney Spears,"...Baby One More Time",1998,10,[43]
The Knack,"My Sharona",1979,10,[44][45]
Xiao Zhan,"Spotlight" (光点),2020,54.12[a],[46]
Ed Sheeran,"Shape of You",2017,41.5[a],[47][48]
Luis Fonsi featuring Daddy Yankee,"Despacito",2017,36.1[a],[47][48]
Rihanna featuring Drake,"Work",2016,32.5[a],[49]
The Chainsmokers and Coldplay,"Something Just Like This",2017,21.5[a],[47][48]
Ed Sheeran,"Perfect",2017,21.4[a],[47][48]
Wiz Khalifa featuring Charlie Puth,"See You Again",2015,20.9[a],[50]
The Chainsmokers featuring Halsey,"Closer",2016,20.7[a],[51][47]
Adele,"Rolling in the Deep",2011,20.6,[52][53][54]
Mark Ronson featuring Bruno Mars,"Uptown Funk",2015,20.0[a],[50]
Billie Eilish,"Bad Guy",2019,19.5[a],[55]
Ed Sheeran,"Thinking Out Loud",2015,19.5[a],[50]
Camila Cabello featuring Young Thug,"Havana",2017,19.0[a],[47][48]
Lil Nas X,"Old Town Road",2018,18.4[a],[55]
Carly Rae Jepsen,"Call Me Maybe",2011,18.0,[56]
Taylor Swift,"Love Story",2008,18.0[a],[57]
Adele,"Someone Like You",2011,17.0,[58]
Rihanna,"Needed Me",2016,17.0[a],[49]
Shawn Mendes and Camila Cabello,"Señorita",2019,16.1[a],[55]
Imagine Dragons,"Believer",2017,15.4[a],[59][60]
Drake,"God's Plan",2018,15.3[a],[48]
Rihanna,"Love on the Brain",2016,15.0[a],[49]
Robin Thicke featuring T.I. and Pharrell,"Blurred Lines",2013,14.8[a],[61]
Maroon 5 featuring Christina Aguilera,"Moves Like Jagger",2011,14.4,[62]
Kesha,"Tik Tok",2009,14,[63]
Lady Gaga,"Poker Face",2008,14,[64]
Pharrell Williams,"Happy",2013,13.9[a],[65]
Psy,"Gangnam Style",2012,13.5,[66][67]
Maroon 5,"Sugar",2015,13.5[a],[50]
Post Malone and Swae Lee,"Sunflower",2018,13.4[a],[55]
Macklemore and Ryan Lewis featuring Wanz,"Thrift Shop",2012,13.4[a],[61]
Ariana Grande,"7 Rings",2019,13.3[a],[55]
Katy Perry featuring Juicy J,"Dark Horse",2013,13.2[a],[65]
Major Lazer & DJ Snake featuring MØ,"Lean On",2015,13.1[a],[50]
Gotye featuring Kimbra,"Somebody That I Used to Know",2011,13,[68]
Ellie Goulding,"Love Me like You Do",2015,12.6[a],[50]
Drake featuring Wizkid and Kyla,"One Dance",2016,12.5[a],[51]
Bruno Mars,"Just the Way You Are",2010,12.5,[69]
Adele,"Hello",2015,12.3[a],[50]
